"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"0500000US01001","Autauga County, Alabama","59285","*****","43616","310","11829","406","42","41","616","232","0","31","460","328","2722","518","1187","329","1535","426",
"0500000US01003","Baldwin County, Alabama","239945","*****","198721","1300","19144","773","980","350","2272","347","104","98","5440","1149","13284","1446","6035","1054","7249","907",
"0500000US01005","Barbour County, Alabama","24757","*****","10891","238","11616","127","46","31","136","19","0","25","1337","295","731","191","368","154","363","117",
"0500000US01007","Bibb County, Alabama","22152","*****","16634","204","4587","230","175","149","51","58","0","25","80","93","625","257","187","117","438","232",
"0500000US01009","Blount County, Alabama","59292","*****","53062","635","747","154","235","159","51","53","88","85","2055","603","3054","563","1654","542","1400","170",
"0500000US01011","Bullock County, Alabama","10157","*****","2327","158","7234","109","0","21","47","51","0","21","328","192","221","140","132","111","89","90",
"0500000US01013","Butler County, Alabama","18807","*****","9622","70","8411","81","69","47","249","62","0","21","78","56","378","136","135","71","243","111",
"0500000US01015","Calhoun County, Alabama","116141","*****","82465","519","25515","537","302","123","925","151","198","173","2421","451","4315","632","1359","353","2956","487",
"0500000US01017","Chambers County, Alabama","34450","*****","19089","335","13697","125","16","24","201","122","3","5","716","327","728","234","192","127","536","182",
"0500000US01019","Cherokee County, Alabama","25224","*****","23017","140","948","199","103","49","39","65","0","25","165","72","952","219","173","120","779","197",
"0500000US01021","Chilton County, Alabama","45500","*****","36815","619","4175","192","616","600","222","60","156","200","1365","409","2151","425","1227","424","924","195",
"0500000US01023","Choctaw County, Alabama","12525","*****","7101","20","4782","228","15","23","22","31","0","21","52","50","553","228","26","37","527","228",
"0500000US01025","Clarke County, Alabama","22802","*****","11749","107","10360","151","9","16","71","28","0","25","217","133","396","156","71","65","325","147",
"0500000US01027","Clay County, Alabama","14188","*****","11424","130","1840","180","19","36","47","23","0","21","161","116","697","247","381","225","316","153",
