"GEO_ID","NAME","B03003_001E","B03003_001M","B03003_002E","B03003_002M","B03003_003E","B03003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino","Margin of Error!!Total:!!Not Hispanic or Latino","Estimate!!Total:!!Hispanic or Latino","Margin of Error!!Total:!!Hispanic or Latino",
"0500000US01001","Autauga County, Alabama","59285","*****","57097","*****","2188","*****",
"0500000US01003","Baldwin County, Alabama","239945","*****","226552","*****","13393","*****",
"0500000US01005","Barbour County, Alabama","24757","*****","23267","*****","1490","*****",
"0500000US01007","Bibb County, Alabama","22152","*****","21408","*****","744","*****",
"0500000US01009","Blount County, Alabama","59292","*****","53330","*****","5962","*****",
"0500000US01011","Bullock County, Alabama","10157","*****","9580","*****","577","*****",
"0500000US01013","Butler County, Alabama","18807","*****","18507","*****","300","*****",
"0500000US01015","Calhoun County, Alabama","116141","*****","110991","*****","5150","*****",
"0500000US01017","Chambers County, Alabama","34450","*****","33180","*****","1270","*****",
"0500000US01019","Cherokee County, Alabama","25224","*****","24787","*****","437","*****",
"0500000US01021","Chilton County, Alabama","45500","*****","41011","*****","4489","*****",
"0500000US01023","Choctaw County, Alabama","12525","*****","12389","*****","136","*****",
"0500000US01025","Clarke County, Alabama","22802","*****","22541","*****","261","*****",
"0500000US01027","Clay County, Alabama","14188","*****","13737","*****","451","*****",
"0500000US01029","Cleburne County, Alabama","15254","*****","14948","*****","306","*****",
"0500000US01031","Coffee County, Alabama","54231","*****","49135","*****","5096","*****",
"0500000US01033","Colbert County, Alabama","57648","*****","55758","*****","1890","*****",
"0500000US01035","Conecuh County, Alabama","11411","*****","11310","79","101","79",
"0500000US01037","Coosa County, Alabama","10323","*****","10078","*****","245","*****",
"0500000US01039","Covington County, Alabama","37647","*****","36920","*****","727","*****",
"0500000US01041","Crenshaw County, Alabama","13144","*****","12908","*****","236","*****",
"0500000US01043","Cullman County, Alabama","89463","*****","85117","*****","4346","*****",
"0500000US01045","Dale County, Alabama","49516","*****","46085","*****","3431","*****",
"0500000US01047","Dallas County, Alabama","37536","*****","37196","*****","340","*****",
"0500000US01049","DeKalb County, Alabama","71946","*****","59959","*****","11987","*****",
"0500000US01051","Elmore County, Alabama","88669","*****","85752","*****","2917","*****",
"0500000US01053","Escambia County, Alabama","36695","*****","35860","*****","835","*****",
"0500000US01055","Etowah County, Alabama","103208","*****","98074","*****","5134","*****",
"0500000US01057","Fayette County, Alabama","16173","*****","15989","198","184","198",
"0500000US01059","Franklin County, Alabama","31978","*****","25637","*****","6341","*****",
"0500000US01061","Geneva County, Alabama","26726","*****","25373","*****","1353","*****",
"0500000US01063","Greene County, Alabama","7589","*****","7532","45","57","45",
"0500000US01065","Hale County, Alabama","14749","*****","14620","130","129","130",
"0500000US01067","Henry County, Alabama","17450","*****","17076","*****","374","*****",
"0500000US01069","Houston County, Alabama","107628","*****","102948","*****","4680","*****",
"0500000US01071","Jackson County, Alabama","52839","*****","51062","*****","1777","*****",
"0500000US01073","Jefferson County, Alabama","669744","*****","634641","*****","35103","*****",
"0500000US01075","Lamar County, Alabama","13809","*****","13554","*****","255","*****",
"0500000US01077","Lauderdale County, Alabama","95037","*****","91874","*****","3163","*****",
"0500000US01079","Lawrence County, Alabama","33182","*****","32229","*****","953","*****",
"0500000US01081","Lee County, Alabama","177663","*****","168328","*****","9335","*****",
"0500000US01083","Limestone County, Alabama","107577","*****","99792","*****","7785","*****",
"0500000US01085","Lowndes County, Alabama","10008","*****","9981","29","27","29",
"0500000US01087","Macon County, Alabama","18951","*****","18579","*****","372","*****",
"0500000US01089","Madison County, Alabama","397135","*****","371187","*****","25948","*****",
"0500000US01091","Marengo County, Alabama","19027","*****","18575","*****","452","*****",
"0500000US01093","Marion County, Alabama","29190","*****","28311","*****","879","*****",
"0500000US01095","Marshall County, Alabama","98712","*****","82352","*****","16360","*****",
"0500000US01097","Mobile County, Alabama","413162","*****","399384","*****","13778","*****",
"0500000US01099","Monroe County, Alabama","19580","*****","19551","34","29","34",
"0500000US01101","Montgomery County, Alabama","227197","*****","216401","*****","10796","*****",
"0500000US01103","Morgan County, Alabama","123742","*****","111116","*****","12626","*****",
"0500000US01105","Perry County, Alabama","8231","*****","8213","33","18","33",
